dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6988,0.6699,0.7363,0.5984,0.2061,0.6811,0.7464,0.5933,0.2037
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6989,0.6699,0.7362,0.5984,0.2061,0.6799,0.7462,0.5932,0.2037
regular_season_only,regular_plus_playoff_context,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",70,0.7317,0.6646,0.7349,0.5984,0.2061,0.6875,0.7433,0.5958,0.2045
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6994,0.6699,0.7365,0.5984,0.2061,0.6813,0.7466,0.593,0.2036
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6986,0.6693,0.7362,0.5985,0.2062,0.6805,0.7462,0.5934,0.2038
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6987,0.6693,0.7362,0.5986,0.2062,0.6807,0.7462,0.5934,0.2038
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6986,0.6696,0.7361,0.5986,0.2062,0.6807,0.7462,0.5934,0.2038
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6995,0.6673,0.7357,0.5987,0.2064,0.6825,0.7476,0.5917,0.2031
regular_season_only,regular_all_home_away_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",196,0.738,0.6679,0.7337,0.5989,0.2064,0.6811,0.744,0.5937,0.2037
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.7394,0.68,0.7614,0.5989,0.2045,0.7075,0.766,0.5642,0.1916
