dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'balanced'}",51,0.6436,0.6361,0.6854,0.6378,0.2235,0.6473,0.6963,0.6289,0.2196
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'balanced'}",51,0.6436,0.6352,0.6855,0.6378,0.2234,0.645,0.6961,0.629,0.2196
all_games,regular_core_home_away_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",49,0.7074,0.6398,0.6772,0.6378,0.2234,0.6353,0.6772,0.6376,0.2235
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6666,0.6361,0.68,0.6379,0.2232,0.6457,0.6987,0.6312,0.2201
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6669,0.6355,0.68,0.6379,0.2232,0.6452,0.6986,0.6312,0.2201
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6651,0.6387,0.6797,0.638,0.2234,0.6472,0.6932,0.6313,0.2204
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6647,0.6361,0.6811,0.6382,0.2234,0.6426,0.6984,0.6316,0.2204
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6715,0.6371,0.6816,0.6382,0.2229,0.5857,0.6138,0.7656,0.2622
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6664,0.6367,0.6794,0.6383,0.2234,0.6459,0.6981,0.6316,0.2203
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6664,0.6367,0.6794,0.6383,0.2234,0.6459,0.6981,0.6316,0.2203
all_games,regular_core_diff_only,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",15,0.7046,0.6371,0.681,0.6384,0.2236,0.6478,0.6946,0.6321,0.2207
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6425,0.634,0.6838,0.6385,0.2238,0.6422,0.6933,0.6304,0.2203
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6588,0.6388,0.6799,0.6385,0.2235,0.6415,0.6891,0.6477,0.2247
all_games,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'balanced'}",51,0.6427,0.6354,0.6836,0.6386,0.2238,0.6432,0.6919,0.6315,0.2208
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6429,0.6346,0.6837,0.6386,0.2238,0.6426,0.6919,0.6315,0.2207
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6427,0.6343,0.6835,0.6387,0.2238,0.6417,0.6919,0.6315,0.2208
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6651,0.6373,0.6799,0.6387,0.2236,0.6422,0.6945,0.6326,0.2208
regular_season_only,minimal_strong_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",9,0.7037,0.6379,0.6804,0.6387,0.2237,0.6467,0.6987,0.6301,0.2198
